Id,Precio
0,2500
1,2500
2,2500
3,2500
4,2500
5,2500
6,2500
7,2500
8,2500
9,2500
10,2500
11,2500
12,2500
13,2500
14,2500
15,2500
16,2500
17,2500
18,2500
19,2500
20,2500
21,2500
22,2500
23,2500
24,2500
25,2500
26,2500
27,2500
28,2500
29,2500
30,2500
31,2500
32,2500
33,2500
34,2500
35,2500
36,2500
37,2500
38,2500
39,2500
40,2500
41,2500
42,2500
43,2500
44,2500
45,2500
46,2500
47,2500
48,2500
49,2500
50,2500
51,2500
52,2500
53,2500
54,2500
55,2500
56,2500
57,2500
58,2500
59,2500
60,2500
61,2500
62,2500
63,2500
64,2500
65,2500
66,2500
67,2500
68,2500
69,2500
70,2500
71,2500
72,2500
73,2500
74,2500
75,2500
76,2500
77,2500
78,2500
79,2500
80,2500
81,2500
82,2500
83,2500
84,2500
85,2500
86,2500
87,2500
88,2500
89,2500
90,2500
91,2500
92,2500
93,2500
94,2500
95,2500
96,2500
97,2500
98,2500
99,2500
100,2500
101,2500
102,2500
103,2500
104,2500
105,2500
106,2500
107,2500
108,2500
109,2500
110,2500
111,2500
112,2500
113,2500
114,2500
115,2500
116,2500
117,2500
118,2500
119,2500
120,2500
121,2500
122,2500
123,2500
124,2500
125,2500
126,2500
127,2500
128,2500
129,2500
130,2500
131,2500
132,2500
133,2500
134,2500
135,2500
136,2500
137,2500
138,2500
139,2500
140,2500
141,2500
142,2500
143,2500
144,2500
145,2500
146,2500
147,2500
148,2500
149,2500
150,2500
151,2500
152,2500
153,2500
154,2500
155,2500
156,2500
157,2500
158,2500
159,2500
160,2500
161,2500
162,2500
163,2500
164,2500
165,2500
166,2500
167,2500
168,2500
169,2500
170,2500
171,2500
172,2500
173,2500
174,2500
175,2500
176,2500
177,2500
178,2500
179,2500
180,2500
181,2500
182,2500
183,2500
184,2500
185,2500
186,2500
187,2500
188,2500
189,2500
190,2500
191,2500
192,2500
193,2500
194,2500
195,2500
196,2500
197,2500
198,2500
199,2500
200,2500
201,2500
202,2500
203,2500
204,2500
205,2500
206,2500
207,2500
208,2500
209,2500
210,2500
211,2500
212,2500
213,2500
214,2500
215,2500
216,2500
217,2500
218,2500
219,2500
220,2500
221,2500
222,2500
223,2500
